1.300949,left
1.908728,left
2.548973,left
3.204565,left
3.820552,left
4.460437,left
5.076822,left
5.724490,left
6.316604,left
6.956794,left
7.580719,left
8.205253,left
8.836652,left
9.461125,left
10.085269,left
11.389014,left
12.021257,left
12.605339,left
13.876551,left
14.517237,left
15.157065,left
16.404810,left
17.029053,left
17.700779,left
18.308527,left
18.941092,left
19.516281,left
20.188879,left
20.828428,left
21.420847,left
22.060610,left
22.684967,left
23.341043,left
23.940620,left
24.612743,left
25.285307,left
25.900900,left
26.525398,left
27.108715,left
27.772869,left
28.429094,left
29.069279,left
29.700842,left
30.316906,left
30.645180,left
30.973213,left
31.605158,left
32.220848,left
32.892937,left
33.204704,left
33.525055,left
34.141281,left
34.780628,left
35.413345,left
35.716423,left
36.053104,left
36.637287,left
37.244633,left
37.917179,left
38.565212,left
39.165249,left
39.812458,left
40.460949,left
40.796825,left
41.100708,left
41.709064,left
42.317097,left
42.948929,left
43.284920,left
43.605236,left
44.229057,left
44.900848,left
45.476799,left
45.829285,left
46.108894,left
46.732674,left
47.332928,left
47.997292,right
48.341301,left
48.653366,left
49.269039,left
49.893070,left
50.540802,left
51.164726,left
51.772949,left
52.436474,left
53.060921,left
53.396938,left
53.716320,left
54.309235,left
54.965485,left
55.556808,left
55.908844,left
56.237175,left
56.924862,left
57.540623,left
58.148617,left
58.477383,left
58.764835,left
59.372734,left
60.021210,left
60.645000,left
60.940731,left
61.276878,left
61.877289,left
62.548824,left
63.173031,left
63.484543,left
63.813454,left
65.069221,left
65.724724,left
66.060654,left
66.357048,left
67.516922,left
68.181290,left
68.509216,left
68.804764,left
69.445168,left
70.093391,left
70.732582,left
71.037369,left
71.340981,left
72.629372,left
73.292854,left
73.620773,left
73.932861,left
75.172379,left
75.820778,left
76.164955,left
76.485489,left
77.709320,left
78.356682,left
78.668892,left
79.005074,left
79.604637,left
79.940796,left
80.253273,left
80.916611,left
81.524376,left
82.157043,left
82.773209,left
83.420929,left
83.740730,left
84.068909,left
85.292908,left
86.533318,left
87.772697,left
88.420982,left
89.005058,left
89.661148,left
89.973038,left
90.308990,left
90.964806,left
91.636978,left
92.213257,left
92.877289,left
93.501167,left
93.804909,left
94.148956,left
94.805206,left
95.397133,left
96.060753,left
96.357033,left
96.676811,left
97.316887,left
97.917374,left
98.525024,left
98.829338,left
99.116798,left
99.805046,left
100.469429,left
101.044922,left
101.716484,left
102.373459,left
102.716415,left
102.997383,left
103.605423,left
104.228798,left
104.837128,left
105.476784,left
106.116913,left
106.733635,left
107.381447,left
108.020615,left
108.653206,left
108.965233,left
109.284828,left
109.900520,left
110.532753,left
111.156769,left
111.461060,left
111.837555,left
112.476974,left
113.101128,left
113.716499,left
114.021088,left
114.348640,left
115.597351,left
116.284859,left
116.597107,left
116.917297,left
118.116310,left
118.693054,left
119.013084,left
119.364975,left
119.948822,left
120.629021,left
121.277077,left
121.580772,left
121.876648,left
123.165176,left
123.796852,left
124.116821,left
124.429192,left
125.700851,left
126.340767,left
126.628944,left
126.949051,left
128.220795,left
128.836700,left
129.477051,left
130.100693,left
130.428970,left
130.750183,left
131.365265,left
